week,Zip,crossover,svi_label,condition,n_assigned_automated,n_assigned_manual,mean_perc_filled_assigned_automated,mean_perc_filled_assigned_manual,mean_has_race_ethnicity_assigned_automated,mean_has_race_ethnicity_assigned_manual,mean_has_employer_assigned_automated,mean_has_employer_assigned_manual,mean_has_gender_assigned_automated,mean_has_gender_assigned_manual,mean_has_sexual_orientation_assigned_automated,mean_has_sexual_orientation_assigned_manual,mean_has_language_assigned_automated,mean_has_language_assigned_manual,mean_has_signs_or_symptons_assigned_automated,mean_has_signs_or_symptons_assigned_manual,mean_has_travel_assigned_automated,mean_has_travel_assigned_manual,mean_has_attended_gathering_assigned_automated,mean_has_attended_gathering_assigned_manual,mean_has_able_to_self_isolate_assigned_automated,mean_has_able_to_self_isolate_assigned_manual,mean_has_num_contacts_generated_assigned_automated,mean_has_num_contacts_generated_assigned_manual,mean_has_congregate_setting_assigned_automated,mean_has_congregate_setting_assigned_manual
2021-12-20,95116,4,"[80,100] SVI",Manual CICT,67,38,0.42198100407055633,0.7368421052631579,0.8059701492537313,0.8947368421052632,0.08955223880597014,0.3157894736842105,0.9253731343283582,1,0.22388059701492538,0.39473684210526316,0.26865671641791045,0.7894736842105263,0.47761194029850745,0.7894736842105263,0.5223880597014925,0.7368421052631579,0.3582089552238806,0.8157894736842105,0.5223880597014925,0.8421052631578947,0.3880597014925373,0.8421052631578947,0.05970149253731343,0.6842105263157895
2021-12-20,95117,4,"[80,100] SVI",Manual CICT,34,30,0.3048128342245989,0.5575757575757576,0.5882352941176471,0.9333333333333333,0.08823529411764706,0.2,0.9705882352941176,0.9666666666666667,0.08823529411764706,0.16666666666666666,0.11764705882352941,0.7,0.35294117647058826,0.6333333333333333,0.35294117647058826,0.43333333333333335,0.17647058823529413,0.5,0.38235294117647056,0.5333333333333333,0.23529411764705882,0.5333333333333333,0,0.5333333333333333
2021-12-20,95121,5,"[80,100] SVI",Manual CICT,44,43,0.32644628099173556,0.7293868921775899,0.7045454545454546,0.9302325581395349,0.022727272727272728,0.2558139534883721,0.9545454545454546,1,0.11363636363636363,0.4883720930232558,0.22727272727272727,0.8372093023255814,0.2727272727272727,0.813953488372093,0.36363636363636365,0.6511627906976745,0.2727272727272727,0.7674418604651163,0.36363636363636365,0.8372093023255814,0.2727272727272727,0.8372093023255814,0.022727272727272728,0.6046511627906976
2021-12-20,95122,5,"[80,100] SVI",Manual CICT,76,76,0.3349282296650718,0.7129186602870814,0.75,0.9078947368421053,0.10526315789473684,0.3157894736842105,0.9473684210526315,1,0.18421052631578946,0.4473684210526316,0.27631578947368424,0.8026315789473685,0.27631578947368424,0.7763157894736842,0.3157894736842105,0.5921052631578947,0.2236842105263158,0.7236842105263158,0.3157894736842105,0.7763157894736842,0.23684210526315788,0.7763157894736842,0.05263157894736842,0.7236842105263158
2021-12-20,95123,3,"[50,80) SVI",Manual CICT,112,74,0.39366883116883117,0.671990171990172,0.7142857142857143,0.8513513513513513,0.08928571428571429,0.28378378378378377,0.9642857142857143,1,0.10714285714285714,0.36486486486486486,0.21428571428571427,0.7432432432432432,0.45535714285714285,0.7432432432432432,0.5,0.6081081081081081,0.35714285714285715,0.6891891891891891,0.5,0.7432432432432432,0.4107142857142857,0.7567567567567568,0.017857142857142856,0.6081081081081081
2021-12-20,95125,4,"[50,80) SVI",Manual CICT,106,80,0.42109777015437394,0.6443181818181818,0.8207547169811321,0.8625,0.08490566037735849,0.325,0.9716981132075472,1,0.19811320754716982,0.3875,0.22641509433962265,0.7,0.4811320754716981,0.6625,0.5,0.625,0.4056603773584906,0.6125,0.5,0.6875,0.42452830188679247,0.7125,0.018867924528301886,0.5125
2021-12-20,95126,2,"[50,80) SVI",Manual CICT,73,49,0.46450809464508097,0.6975881261595547,0.7808219178082192,0.8571428571428571,0.0684931506849315,0.32653061224489793,1,0.9795918367346939,0.3287671232876712,0.42857142857142855,0.410958904109589,0.7551020408163265,0.5205479452054794,0.7755102040816326,0.5068493150684932,0.6326530612244898,0.4657534246575342,0.7551020408163265,0.5068493150684932,0.7755102040816326,0.4931506849315068,0.7551020408163265,0.0273972602739726,0.6326530612244898
2021-12-20,95127,5,"[80,100] SVI",Manual CICT,92,65,0.4318181818181818,0.6377622377622377,0.7391304347826086,0.8615384615384616,0.08695652173913043,0.16923076923076924,0.9891304347826086,0.9538461538461539,0.22826086956521738,0.36923076923076925,0.29347826086956524,0.6615384615384615,0.5,0.6923076923076923,0.5,0.6461538461538462,0.42391304347826086,0.676923076923077,0.5,0.7384615384615385,0.45652173913043476,0.7076923076923077,0.03260869565217391,0.5384615384615384
2021-12-20,95128,5,"[80,100] SVI",Manual CICT,51,44,0.41532976827094475,0.6570247933884298,0.7450980392156863,0.9090909090909091,0.11764705882352941,0.22727272727272727,0.9411764705882353,0.9772727272727273,0.1568627450980392,0.3409090909090909,0.21568627450980393,0.7045454545454546,0.49019607843137253,0.7727272727272727,0.5098039215686274,0.5681818181818182,0.35294117647058826,0.6818181818181818,0.5098039215686274,0.7045454545454546,0.47058823529411764,0.7954545454545454,0.058823529411764705,0.5454545454545454
2021-12-20,95131,4,"[50,80) SVI",Manual CICT,38,26,0.43779904306220097,0.7202797202797203,0.7894736842105263,0.9230769230769231,0.13157894736842105,0.34615384615384615,1,1,0.23684210526315788,0.4230769230769231,0.3157894736842105,0.7307692307692307,0.47368421052631576,0.7307692307692307,0.5,0.7307692307692307,0.3684210526315789,0.8076923076923077,0.5,0.8076923076923077,0.4473684210526316,0.8076923076923077,0.05263157894736842,0.6153846153846154
